"","cancion","popularidad","artista","artista_completo","album","top_pais","puesto","bailabilidad","energia","nota_musical","volumen","modo","hablado","acustico","instrumental","en_vivo","positividad","tempo","duracion","tiempo_compas","fecha"
"38","Asesina - Remix",79,"Brytiago","Brytiago feat. Daddy Yankee feat. Ozuna feat. Darell feat. Anuel Aa","Asesina (Remix)","El Top 50 de Uruguay",38,0.825,0.69,10,-4.252,0,0.226,0.589,0,0.413,0.516,94.194,327467,4,"2018-10-31"
"39","MALA (feat. Anuel Aa)",77,"6ix9ine","6ix9ine feat. Anuel Aa","DUMMY BOY","El Top 50 de Uruguay",39,0.719,0.825,5,-3.627,0,0.0424,0.689,0,0.103,0.789,100.006,206550,4,"2018-11-27"
"40","BEBE (feat. Anuel Aa)",80,"6ix9ine","6ix9ine feat. Anuel Aa","DUMMY BOY","El Top 50 de Uruguay",40,0.635,0.902,0,-3.559,1,0.109,0.172,0,0.125,0.286,102.063,217822,4,"2018-11-27"
"41","No Es Justo",76,"J Balvin","J Balvin feat. Zion & Lennox","Vibras","El Top 50 de Uruguay",41,0.684,0.811,7,-4.494,1,0.0714,0.161,0.000363,0.0871,0.721,87.866,250840,4,"2018-05-25"
"42","Booty",75,"C. Tangana","C. Tangana feat. Becky G feat. Alizzz","Booty","El Top 50 de Uruguay",42,0.825,0.771,1,-4.116,1,0.0804,0.0167,2.04e-06,0.0901,0.718,102.927,173366,4,"2018-10-24"
"43","Mala Mía",78,"Maluma","Maluma","Mala Mía","El Top 50 de Uruguay",43,0.749,0.752,6,-4.883,1,0.345,0.31,0,0.232,0.901,180.049,183753,4,"2018-08-10"
"44","Hablar Es Gratis",57,"Dame 5","Dame 5 feat. Papichamp","Hablar Es Gratis","El Top 50 de Uruguay",44,0.811,0.682,0,-5.416,0,0.145,0.374,8.51e-05,0.0792,0.753,96.001,166554,4,"2018-12-22"
"45","Control",43,"Agus Padilla","Agus Padilla feat. Ecko","Control","El Top 50 de Uruguay",45,0.72,0.711,6,-5.831,0,0.0792,0.17,4.58e-05,0.0783,0.732,177.937,188764,4,"2018-09-28"
"46","Luz Apaga",75,"Ozuna","Ozuna feat. Lunay feat. Rauw Alejandro feat. Lyanno","Luz Apaga","El Top 50 de Uruguay",46,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,245000,4,"2018-11-16"
"47","Ni Gucci Ni Prada",79,"Kenny Man","Kenny Man","Ni Gucci Ni Prada","El Top 50 de Uruguay",47,0.799,0.676,2,-5.644,1,0.169,0.41,0.000777,0.325,0.91,104.956,175200,4,"2018-09-14"
"48","Culpables",80,"Karol G","Karol G feat. Anuel Aa","Culpables","El Top 50 de Uruguay",48,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,"2018-09-14"
"49","No Lo Entiendo",66,"Bhavi","Bhavi feat. Khea","No Lo Entiendo","El Top 50 de Uruguay",49,0.87,0.542,2,-6.959,1,0.0397,0.248,7.74e-05,0.112,0.323,105.03,176018,4,"2019-01-24"
"50","Sin Pijama",82,"Becky G","Becky G feat. Natti Natasha","Sin Pijama","El Top 50 de Uruguay",50,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4,"2018-04-20"
