"","cancion_nombre","cancion_popularidad","cancion_artista","cancion_artista_completo","cancion_album","cancion_numero","pais_nombre","feature_bailabilidad","feature_energia","feature_clave","feature_fuerza","feature_modo","feature_hablado","feature_acustico","feature_instrumental","feature_en_vivo","feature_positividad","feature_tempo","feature_duracion_ms","feature_tiempo_compas","album_fecha"
"86","HP",87,"Maluma","Maluma","HP",34,"la Republica Dominicana",0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,184436,4,"2019-03-01"
"87","Me Ignoras (feat. Kayl)",26,"Mike Wit","Mike Wit feat. Kayl","Me Ignoras (feat. Kayl)",35,"la Republica Dominicana",0.659,0.744,5,-4.801,0,0.0449,0.24,0,0.166,0.694,105.988,173595,4,"2019-03-01"
"88","Baby",80,"Amenazzy","Amenazzy feat. Nicky Jam feat. Farruko","Baby",36,"la Republica Dominicana",0.7,0.71,11,-4.835,1,0.0532,0.327,0,0.129,0.582,167.971,235973,4,"2018-12-21"
"89","Controla",78,"Brytiago","Brytiago feat. Anuel Aa","Controla",37,"la Republica Dominicana",0.758,0.699,6,-5.636,1,0.171,0.504,0,0.0922,0.594,90.013,208000,4,"2019-02-15"
"90","bad guy",100,"Billie Eilish","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",38,"la Republica Dominicana",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,"2019-03-29"
"91","Créeme",82,"Karol G","Karol G feat. Maluma","Créeme",39,"la Republica Dominicana",0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,212493,4,"2018-11-02"
"92","Vaina Loca",82,"Ozuna","Ozuna feat. Manuel Turizo","Aura",40,"la Republica Dominicana",0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4,"2018-08-24"
"93","Ibiza",78,"Ozuna","Ozuna feat. Romeo Santos","Aura",41,"la Republica Dominicana",0.691,0.71,5,-5.144,1,0.334,0.254,0,0.108,0.726,192.046,200747,4,"2018-08-24"
"94","Adan y Eva",86,"Paulo Londra","Paulo Londra","Adan y Eva",42,"la Republica Dominicana",0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,258639,4,"2018-11-05"
"95","Soltera",81,"Lunay","Lunay feat. Chris Jeday feat. Gaby Music","Soltera",43,"la Republica Dominicana",0.778,0.731,5,-4.325,1,0.0399,0.446,0,0.251,0.854,91.991,213913,4,"2019-02-21"
"96","Culpables",79,"Karol G","Karol G feat. Anuel Aa","Culpables",44,"la Republica Dominicana",0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,"2018-09-14"
"97","Pa Olvidarte (feat. Manuel Turizo) - Remix",81,"ChocQuibTown","ChocQuibTown feat. Zion & Lennox feat. Farruko feat. Manuel Turizo","Pa Olvidarte (feat. Manuel Turizo) [Remix]",45,"la Republica Dominicana",0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,256418,4,"2019-02-01"
"98","Te Vi",87,"Piso 21","Piso 21 feat. Micro Tdh","Te Vi",46,"la Republica Dominicana",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,231848,4,"2018-12-14"
"99","Ta To Gucci (Remix)",78,"Cauty","Cauty feat. Brytiago feat. Darell feat. Cosculluela feat. Rafa Pabön feat. Chencho Corleone","Cauty VS Young Cauty",47,"la Republica Dominicana",0.73,0.648,1,-6.405,0,0.378,0.383,0.000112,0.103,0.675,187.991,304859,4,"2018-12-07"
"100","Te Boté - Remix",83,"Nio Garcia","Nio Garcia feat. Casper Magico feat. Bad Bunny feat. Darell feat. Ozuna feat. Nicky Jam","Te Boté (Remix)",48,"la Republica Dominicana",0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920,4,"2018-04-13"
"101","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",88,"DJ Snake","DJ Snake feat. Selena Gomez feat. Ozuna feat. Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",49,"la Republica Dominicana",0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,"2018-09-28"
"102","Estamos Bien",76,"Bad Bunny","Bad Bunny","X 100PRE",50,"la Republica Dominicana",0.759,0.536,9,-6.663,0,0.173,0.821,4.57e-06,0.107,0.439,119.883,208080,4,"2018-12-23"
"103","Otro Trago",96,"Sech","Sech feat. Darell","Sueños",1,"Perú",0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,225933,4,"2019-04-19"
"104","Soltera - Remix",94,"Lunay","Lunay feat. Daddy Yankee feat. Bad Bunny","Soltera (Remix)",2,"Perú",0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,266087,4,"2019-05-10"
"105","Blurry",42,"Thespaacedoutslackerz","Thespaacedoutslackerz","Blurry EP",3,"Perú",0.733,0.58,11,-8.127,0,0.136,0.0453,0.0369,0.091,0.17,105.034,187455,4,"2019-06-07"
"106","Pa Mí - Remix",90,"Dalex","Dalex feat. Rafa Pabön feat. Khea feat. Sech feat. Feid feat. Cazzu feat. Lenny Tavárez","Climaxxx",4,"Perú",0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960,4,"2019-05-10"
